Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Bygning af både til fritid og sport,Fremstilling af civile luft- og rumfartøjer o.lign.,Bygning af militærfartøjer,Fremstilling af cykler og kørestole,Fremstilling af andre transportmidler i.a.n.,Fremstilling af motorcykler,Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje,Bygning af civile skibe og flydende materiel,Fremstilling af militære kampkøretøjer,Fremstilling af militære luft- og rumfartøjer o.lign.
BENAIR A/S,"Fabriksvej 2, 7280 Sønder Felding",Herning,01.04.1989,9.0,Mikro,Aktieselskab,12966377,2.0,4420000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FarmSportATV ApS,"Lillegade 15, 4244 Agersø",Slagelse,22.05.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31469139,125.0,-212000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BY CONNIEHANSEN 2015 ApS,"Byåsen 18, 3660 Stenløse",Egedal,01.01.2015,6.0,Mikro,Anpartsselskab,36487305,50.0,2038000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P V SYSTEM ApS,"Ved Gadekæret 1, 3550 Slangerup",Frederikssund,01.01.1992,Ikke oplyst,Ikke oplyst,Anpartsselskab,15951842,200.0,1000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cykelfabrikanten ApS,"Kællingbjerg 5, 5592 Ejby",Middelfart,29.03.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43955055,40.0,-72000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vision Boat ApS,"Fåborgvej 104, 5762 Vester Skerninge",Svendborg,13.02.2017,1.0,Mikro,Anpartsselskab,38412493,50.0,189000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC 2023 ApS,"Strandvejen 433 2 th, 2930 Klampenborg",Lyngby-Taarbæk,23.10.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39964333,83.0,-924000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SENEBERG SHOCKS ApS,"Grønholtvej 16, 3480 Fredensborg",Fredensborg,07.11.2009,13.0,Lille,Anpartsselskab,32562639,250.0,6774000.0,DKK,2023.0,1,0,30,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mbodji & Laursen Boat Building ApS,"Gl Vallerødvej 29, 2960 Rungsted Kyst",Hørsholm,25.06.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39679841,51.0,-28000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nosira ApS,"Gundslevmagle Skovvej 3, 4863 Eskilstrup",Guldborgsund,13.10.2022,2.0,Mikro,Anpartsselskab,43576887,40.0,-142000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordic EMT ApS,"Nordborgvej 69, 6430 Nordborg",Sønderborg,26.03.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35813683,40.0,-6000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DINES AVITECH ApS,"Sivvænget 3, 4622 Havdrup",Solrød,12.06.2006,1.0,Mikro,Anpartsselskab,29616760,125.0,630000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lusospace Denmark ApS,"Rådhuspladsen 16, 1550 København V",København,12.11.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37225495,40.0,-42000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-Tec Industries ApS,"Nyvej 12, 8543 Hornslet",Syddjurs,29.04.2016,1.0,Mikro,Anpartsselskab,37677477,50.0,801000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JØRGENSEN BYG ApS,"Asmild Dige 19, 8800 Viborg",Viborg,02.10.2014,1.0,Mikro,Anpartsselskab,36405279,50.0,-48000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balthire ApS,"Fiskerikajerne 20, 8500 Grenaa",Norddjurs,12.08.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37930865,50.0,200000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
R82 A/S,"Parallelvej 3, 8751 Gedved",Horsens,22.06.1992,175.0,Mellemstor,Aktieselskab,16202185,4.785,76911000.0,DKK,2023.0,1,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nimbus Motorcycles Holding A/S,"Ubberødvej 22, 2970 Hørsholm",Hørsholm,28.09.2020,Ikke oplyst,Ikke oplyst,Aktieselskab,41717823,1.195,-1412000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOLYTEX A/S,"Smedeland 12, 2600 Glostrup",Glostrup,07.01.1972,30.0,Lille,Aktieselskab,42677612,2.0,3714000.0,DKK,2024.0,1,0,30,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Classic Trim Aircraft Interiors ApS,"Hestehavevej 22, 5856 Ryslinge",Faaborg-Midtfyn,26.08.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42630772,40.0,361000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PI BOAT ApS,"Arnborgvej 37, 6900 Skjern",Ringkøbing-Skjern,01.03.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34455228,80.0,-10000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercosur-Care ApS,"Håndværkervej 1, 9700 Brønderslev",Brønderslev-Dronninglund,22.05.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44075407,40.0,-16000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LARRY VS HARRY ApS,"Esromgade 15 st, 2200 København N",København,17.01.2008,22.0,Lille,Anpartsselskab,31187699,125.0,15672000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GOMSPACE A/S,"Langagervej 6, 9220 Aalborg Øst",Aalborg,28.09.2007,137.0,Mellemstor,Aktieselskab,30899849,15.276,3115000.0,DKK,2023.0,1,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asasara ApS,"Vestergade 8 B, 4850 Stubbekøbing",Guldborgsund,24.10.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40956883,40.0,71000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTO-GYRO NORDIC ApS,"Nordstjernen 6, 3390 Hundested",Halsnæs,01.02.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34224684,80.0,124000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPH Shipyard ApS,"Vesterlundvej 5, 2730 Herlev",Herlev,07.05.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37668079,50.0,-10000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RAVENDO A/S,"Klokkestøbervej 3, 8800 Viborg",Viborg,30.05.2006,44.0,Lille,Aktieselskab,29604045,500.0,20571000.0,DKK,2023.0,1,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Miljø Bevidst Genbrug ApS,"Valhøjs Alle 157, 2610 Rødovre",Rødovre,04.04.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39487780,40.0,0.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNTRAIL ApS,"Saloparken 319, 8300 Odder",Odder,18.12.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,26370124,125.0,88000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WOLTURNUS A/S,"Skalhuse 31, 9240 Nibe",Aalborg,21.02.2002,81.0,Mellemstor,Aktieselskab,26486734,625.0,50267000.0,DKK,2024.0,1,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Laplandar ApS,"Skovvej 9, 2930 Klampenborg",Lyngby-Taarbæk,21.11.2019,6.0,Mikro,Anpartsselskab,40948821,88.0,-536000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B-Bikes ApS,"Møllesvinget 6, 2690 Karlslunde",Greve,26.09.2018,36.0,Lille,Anpartsselskab,39892499,50.0,19637000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Supermarine Performance Boats ApS,"Salbjergvej 43, 4622 Havdrup",Solrød,23.03.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42250996,40.0,-1000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIELGARD A/S,"Tørveskæret 7, 8800 Viborg",Viborg,20.12.2013,7.0,Mikro,Aktieselskab,25664574,500.0,1770000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HAGLAND SHIPBROKERS ApS,"Nyhavnsgade 37, 6700 Esbjerg",Esbjerg,29.06.2007,8.0,Mikro,Anpartsselskab,30703030,150.0,3294000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Copenhagen Boat House ApS,"Vennemindevej 54 4 th, 2100 København Ø",København,24.10.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39966069,40.0,-3000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CAMPBOAT ApS,"Leragervej 8, 4200 Slagelse",Slagelse,25.06.2011,1.0,Mikro,Anpartsselskab,33772645,80.0,515000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF MOBILITY ApS,"Bjerregårdvej 15, 7480 Vildbjerg",Herning,15.11.1999,24.0,Lille,Anpartsselskab,25059026,125.0,14462000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Zunshine Produktion ApS,"Haraldsvej 60 1, 8960 Randers SØ",Randers,14.11.2022,2.0,Mikro,Anpartsselskab,43649477,40.0,-282000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A/S AABENTOFT,"Løgtenvej 93, 8541 Skødstrup",Århus,26.11.1984,27.0,Lille,Aktieselskab,59148710,525.0,12490000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WINNER OPTIMIST ApS,"Krogsbjergvej 6, 5600 Faaborg",Faaborg-Midtfyn,20.09.2002,15.0,Lille,Anpartsselskab,26792290,126.0,3524000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TA. SERVICE A/S,"Centervej Syd 2, 4733 Tappernøje",Næstved,15.04.1992,24.0,Lille,Aktieselskab,16068985,500.0,16727000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BB 2024 ApS,"Vestre Kaj 50 B, 4970 Rødby",Lolland,01.01.1994,7.0,Mikro,Anpartsselskab,17643231,202.0,6694000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B IVERSEN HOLDING ApS,"Søparken 27, 6630 Rødding",Vejen,18.02.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32775446,126.0,-37000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordic Wing ApS,"Hangarvej 21, 3500 Værløse",Furesø,01.02.2018,39.0,Lille,Anpartsselskab,39323559,110.0,56011000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agile 360 ApS,"Skanderborgvej 232 A st, 8260 Viby J",Århus,29.09.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37127965,50.0,-10000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lysthusbåd ApS,"Langesø-Alle 4, 8410 Rønde",Syddjurs,17.04.2020,1.0,Mikro,Anpartsselskab,41308826,50.0,19000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FERRO-TEKNIK ApS,"Grimhøjvej 10, 8220 Brabrand",Århus,28.01.2005,15.0,Lille,Anpartsselskab,28480970,188.0,7899000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BLACK IRON HORSE APS,"Skøjtevej 11, 2770 Kastrup",Tårnby,01.01.2019,28.0,Lille,Anpartsselskab,40135103,544.0,2993000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Trefork Rosport ApS,"Tysklandsvej 4, 7100 Vejle",Vejle,01.02.2024,2.0,Mikro,Anpartsselskab,44605473,50.0,683000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUTCHERS & BICYCLES ApS,"Flæsketorvet 18, 1711 København V",København,30.09.2010,11.0,Lille,Anpartsselskab,33166516,4.968,393000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dansk Marine Center A/S,"Brorholtvej 36, 9430 Vadum",Aalborg,29.06.1992,2.0,Mikro,Aktieselskab,16288640,2.0,2269000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Njordship ApS,"Islandsvej 5, 5700 Svendborg",Svendborg,01.05.2019,2.0,Mikro,Anpartsselskab,40497285,50.0,-1669000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Per's Boatshop Aps,"Hobrovej 132, 9670 Løgstør",Vesthimmerland,30.10.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43617079,40.0,-51000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarvo Marine ApS,"Oscar Pettifords Vej 17 1 th, 2450 København SV",København,18.04.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39528924,100.0,-93000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLUNICO A/S,"Fuglevangsvej 58, 8700 Horsens",Horsens,28.06.1984,44.0,Lille,Aktieselskab,75119828,2.1,26011000.0,DKK,2024.0,1,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EOWS ApS,"Gasværksvej 5, 9300 Sæby",Frederikshavn,31.08.2016,71.0,Mellemstor,Anpartsselskab,37969885,50.0,46588000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EL-LET ApS,"Mellemvej 7, 6430 Nordborg",Sønderborg,06.07.1994,5.0,Mikro,Anpartsselskab,17915274,200.0,1505000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TERMA AEROSTRUCTURES A/S,"Fabrikvej 1, 8500 Grenaa",Norddjurs,30.04.2013,485.0,Stor,Aktieselskab,35236252,5.0,174119000.0,DKK,2024.0,1,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILL MOTO ApS,"Gjellerupvej 105, 8220 Brabrand",Århus,19.06.2023,2.0,Mikro,Anpartsselskab,44160935,56.0,-32000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Glastech Industries ApS,"Søndre Havnekaj 19, 5300 Kerteminde",Kerteminde,10.10.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36414618,50.0,-19000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. WINTHER A/S,"Rygesmindevej 2, 8653 Them",Silkeborg,20.03.1992,68.0,Mellemstor,Aktieselskab,16048607,12.0,50514000.0,DKK,2024.0,1,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BERTH EJENDOMME ApS,"Strandvejen 93 B, 3070 Snekkersten",Helsingør,28.06.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35401148,387.0,1377000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QUORNING BOATS ApS,"Skærbækvej 101, 7000 Fredericia",Fredericia,29.09.1995,59.0,Mellemstor,Anpartsselskab,18888378,200.0,44571000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH EAST HOLDINGS ApS,"Rosenvangs Allé 41, 8260 Viby J",Århus,06.02.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32057349,125.0,452000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SKY-WATCH A/S,"Østre Alle 6, 9530 Støvring",Rebild,01.12.2009,111.0,Mellemstor,Aktieselskab,32653847,1.0,124825000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R. Teknik ApS,"Møllevej 6, 8420 Knebel",Syddjurs,10.01.2019,1.0,Mikro,Anpartsselskab,40155023,50.0,253000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General Dynamics European Land Systems Denmark ApS,"H.C. Andersens Boulevard 38 3 th, 1553 København V",København,15.01.2016,1.0,Mikro,Anpartsselskab,37389870,50.0,1264000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WATERCONSTRUCT ApS,"Egernæs 16, 4390 Vipperød",Holbæk,23.02.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37490466,50.0,-15000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C. J. SKIBS- OG BÅDEBYGGERI ApS,"Havnevej 15, 6320 Egernsund",Sønderborg,01.09.1989,11.0,Lille,Anpartsselskab,13445494,200.0,5641000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TCR DENMARK ApS,"Vilhelm Lauritzens Alle 1, 2770 Kastrup",Tårnby,30.09.2008,42.0,Lille,Anpartsselskab,31768209,100.0,43458000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knorr-Bremse Rail Systems Denmark ApS,"Otto Busses Vej 27, 2450 København SV",København,21.10.2020,456.0,Stor,Anpartsselskab,41777583,40.0,188223000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VESTVÆRFTET ApS,"Nordhavnskaj 12, 6960 Hvide Sande",Ringkøbing-Skjern,08.11.1995,56.0,Mellemstor,Anpartsselskab,18915642,200.0,21143000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VISION MAST ApS,"Søndre Havnekaj 19, 5300 Kerteminde",Kerteminde,22.10.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36419768,50.0,49000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Walking ApS,"Sandagervej 18 B, 5854 Gislev",Faaborg-Midtfyn,31.01.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38387502,100.0,-116000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SEALEGS DENMARK ApS,"Nobilisvej 8, 9320 Hjallerup",Brønderslev-Dronninglund,20.06.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35383123,80.0,35000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BOATPLANS ApS,"Hyldvej 1 A, 4540 Fårevejle",Odsherred,30.05.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33752113,81.0,82000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANSK CYKEL TRAILER FABRIK ApS,"Industrivej 78, 7080 Børkop",Vejle,01.05.2002,1.0,Mikro,Anpartsselskab,26621402,125.0,251000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Poseidon Shipbuilding ApS,"Strandvejen 178, 2920 Charlottenlund",Gentofte,25.03.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36695935,50.0,-366000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
