Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af andet elektrisk udstyr,"Fremstilling af elektriske motorer, generatorer og transformatorer",Fremstilling af andre elektroniske og elektriske ledninger og kabler,Fremstilling af elektriske fordelings- og kontrolapparater,Fremstilling af belysningsartikler,Fremstilling af tilbehør til ledninger og kabler,Fremstilling af elektriske husholdningsapparater,Fremstilling af ikke-elektriske husholdningsapparater,Fremstilling af batterier og akkumulatorer,Fremstilling af lyslederkabler
DASPOS INTERNATIONAL ApS,"Gammel Klausdalsbrovej 495, 2730 Herlev",Herlev,09.04.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35212388,80.0,170000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLP STENSTRUP ApS,"Assensvej 210 B, 5771 Stenstrup",Svendborg,13.03.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31325684,125.0,-11000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nerve Smart Systems A/S,"Langebjergvænget 19 A, 4000 Roskilde",Roskilde,27.10.2016,15.0,Lille,Aktieselskab,38137271,1.962,-1736000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nordic Spot ApS,"Thorsvej 13, 4100 Ringsted",Ringsted,01.12.2020,1.0,Mikro,Anpartsselskab,41899867,40.0,6000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MØLLER & JENSEN ApS,"Virkelyst 9, 9400 Nørresundby",Aalborg,05.11.2009,10.0,Lille,Anpartsselskab,32560873,125.0,6386000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RIse & Shine Denmark ApS,"Fredericiagade 21 B, 7100 Vejle",Vejle,08.09.2020,1.0,Mikro,Anpartsselskab,41672579,54.0,-59000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kastoft Design ApS,"A.P. Møllers Allé 55, 2791 Dragør",Tårnby,03.02.2022,1.0,Mikro,Anpartsselskab,43029428,80.0,-141000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TransElectro ApS,"Vestvejen 3, 9560 Hadsund",Mariagerfjord,28.05.2018,2.0,Mikro,Anpartsselskab,39600234,50.0,1473000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VANDVAGT ApS,"Sejlhøjvej 3, 7700 Thisted",Thisted,05.03.1999,9.0,Mikro,Anpartsselskab,21629995,125.0,3272000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L3D ApS,"Galionsvej 37, 1437 København K",København,02.06.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41408820,40.0,-3000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZenSati Production ApS,"Bomose Alle 9, 3200 Helsinge",Gribskov,25.10.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42785903,40.0,-8000.0,DKK,2024.0,0,0,27,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN-E-MARINE ApS,"Bastrupvej 10, 3540 Lynge",Allerød,03.02.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34222576,80.0,113000.0,DKK,2024.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flux A/S,"Industrivangen 5, 4550 Asnæs",Odsherred,30.06.1983,56.0,Mellemstor,Aktieselskab,73297710,2.1,30375000.0,DKK,2024.0,1,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRI SIGN SOLUTION A/S,"Brolæggervej 10, 6710 Esbjerg V",Esbjerg,01.02.1990,14.0,Lille,Aktieselskab,13965579,510.0,17551000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FOCUS LIGHTING A/S,"Kokkedal Industripark 40, 2980 Kokkedal",Fredensborg,24.06.1981,48.0,Lille,Aktieselskab,66941213,500.0,45331000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Batteri Energi ApS,"Stokagervej 6 E st th, 8240 Risskov",Århus,09.10.2020,4.0,Mikro,Anpartsselskab,41759763,40.0,731000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ACCESS TECHNOLOGY A/S,"Marøgelhøj 22 C, 8520 Lystrup",Århus,25.03.2010,29.0,Lille,Aktieselskab,32831192,400.0,27841000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS Cable & System Denmark ApS,"Holbergsgade 14 3 th, 1057 København K",København,12.09.2016,23.0,Lille,Anpartsselskab,38000748,50.0,5052000.0,DKK,2023.0,0,0,27,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G.V. HARNISCH METALVAREFABRIK ApS,"Måløv Værkstedsby 55, 2760 Måløv",Ballerup,21.07.1999,1.0,Mikro,Anpartsselskab,21824739,125.0,307000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KIRK ELECTRONIC A/S,"Farvervej 8, 7600 Struer",Struer,05.01.1981,6.0,Mikro,Aktieselskab,66655318,500.0,4744000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EnergyFreedom ApS,"Karen Blixens Vej 5, 6400 Sønderborg",Sønderborg,22.10.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42776475,40.0,-18000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebild Tavleteknik A/S,"Hagensvej 5, 9530 Støvring",Rebild,01.01.2001,13.0,Lille,Aktieselskab,25874323,500.0,8960000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RENCAT ApS,"Oksemosen 10, 2840 Holte",Rudersdal,02.10.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36397268,50.0,-11000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTO A/S,"Industrivej 8, 7430 Ikast",Ikast-Brande,01.07.2003,58.0,Mellemstor,Aktieselskab,27240607,601.0,39677000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FERROPERM EMC SALES ApS,"Bakkegårdsvej 405, 3050 Humlebæk",Fredensborg,01.07.2013,8.0,Mikro,Anpartsselskab,35390006,80.0,578000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEKTRO-ISOLA A/S,"Grønlandsvej 197, 7100 Vejle",Vejle,01.06.1996,137.0,Mellemstor,Aktieselskab,19403882,9.0,43165000.0,DKK,2024.0,1,0,27,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Klein Embedded ApS,"Niels Juels Allé 51, 5250 Odense SV",Odense,24.01.2023,1.0,Mikro,Anpartsselskab,43801570,40.0,748000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ultraline ApS,"Lægårdvej 91 E, 7500 Holstebro",Holstebro,04.10.2018,2.0,Mikro,Anpartsselskab,39916266,50.0,1202000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LOKLINDT ApS,"Damgade 71 A, 6400 Sønderborg",Sønderborg,01.12.2000,Ikke oplyst,Ikke oplyst,Anpartsselskab,25786580,250.0,-14000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEL METALTRYK ApS,"Lyderslev Stræde 8, 4660 Store Heddinge",Stevns,18.02.1977,2.0,Mikro,Anpartsselskab,81109613,125.0,490000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ICEOTIQ ApS,"Bøgebjerg 2 2 tv, 8400 Ebeltoft",Syddjurs,22.10.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37267155,40.0,0.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
detgas ApS,"Gyngemose Parkvej 52 C 1 tv, 2860 Søborg",Gladsaxe,17.01.2023,2.0,Mikro,Anpartsselskab,43789163,40.0,1002000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYELIGHTING ApS,"Stenbækhave 7, 8220 Brabrand",Århus,02.01.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41060980,40.0,-3000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LAGUR A/S,"Attrupvej 4, 8550 Ryomgård",Syddjurs,08.08.2014,10.0,Lille,Aktieselskab,36070641,400.0,10628000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duolight ApS,"Classensgade 36, 2100 København Ø",København,06.01.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37354074,117.0,-3000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DANIA ELECTRIC A/S,"Klostermarken 2, 9550 Mariager",Mariagerfjord,05.03.2008,38.0,Lille,Aktieselskab,31327024,500.0,21682000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VARO SPECIALMASKINER A/S,"Sortevej 12, 8543 Hornslet",Syddjurs,01.04.1997,85.0,Mellemstor,Aktieselskab,20043830,2.275,42360000.0,DKK,2023.0,1,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wirebach ApS,"Kjærs Mølle Vej 5, 9000 Aalborg",Aalborg,12.10.2017,6.0,Mikro,Anpartsselskab,39005840,50.0,1797000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICMATIC ApS,"Østre Langgade 3, 8643 Ans By",Silkeborg,12.07.2000,8.0,Mikro,Anpartsselskab,25504739,250.0,3893000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LEDPROOF RETAIL ApS,"Helleruplund Alle 21, 2900 Hellerup",Gentofte,31.01.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34221006,50.0,-10000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ACARIX A/S,"Ryvangs Allé 81, 2900 Hellerup",Gentofte,01.12.2009,4.0,Mikro,Aktieselskab,32648223,4.085,-16245000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBACCO ApS,"Maglemølle 93, 4700 Næstved",Næstved,22.05.2002,1.0,Mikro,Anpartsselskab,26685311,200.0,186000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WETLING EU ApS,"Østervang 1, 3450 Allerød",Allerød,06.04.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32879276,80.0,-676000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarLab A/S,"Industrivej 8, 8260 Viby J",Århus,12.10.2012,16.0,Lille,Aktieselskab,34720975,400.0,16041000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Holtec Automatic A/S,"Sallingsundvej 2, 6715 Esbjerg N",Esbjerg,20.02.2020,67.0,Mellemstor,Aktieselskab,41228636,667.0,47324000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dantherm Denmark A/S,"Marienlystvej 65, 7800 Skive",Skive,04.06.1998,290.0,Stor,Aktieselskab,20864591,60.8,221518000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAMUTEC A/S,"Grønlandsvej 5, 7480 Vildbjerg",Herning,19.12.2008,3.0,Mikro,Aktieselskab,29816425,980.0,-5000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BPN Holding, Tarm Aps","Hybenvej 15, 6880 Tarm",Ringkøbing-Skjern,26.07.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42562211,40.0,-8000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danneris EL-Teknik ApS,"Hovedgaden 39, 9480 Løkken",Hjørring,25.01.2018,1.0,Mikro,Anpartsselskab,39279061,50.0,723000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VAM Innovation ApS,"Kildevej 6, 7490 Aulum",Herning,08.04.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41287446,40.0,-48000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC SCANDINAVIA A/S,"Støberivej 1, 3660 Stenløse",Egedal,01.09.2008,5.0,Mikro,Aktieselskab,31746051,501.0,2383000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDLAND AUTOMATIC A/S,"Kummerowsvej 3, 9400 Nørresundby",Aalborg,01.10.1995,20.0,Lille,Aktieselskab,18814048,500.0,9945000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Velocity Tech Ventures Denmark ApS,"Rugaardsvej 5, 8680 Ry",Skanderborg,17.06.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36926511,50.0,4000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TIQ SPEAKERS ApS,"Sepstrupvej 71, 8653 Them",Silkeborg,01.08.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35408843,80.0,-9000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTIFFIC ApS,"Yderholmvej 64, 4623 Lille Skensved",Køge,20.07.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37892920,588.0,-101000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOFT & TEKNIK A/S,"Håndværkervej 3, 9900 Frederikshavn",Frederikshavn,01.06.1999,142.0,Mellemstor,Aktieselskab,24257509,1.0,112283000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Preben Dal ApS,"Lille Værløsevej 63, 3500 Værløse",Furesø,22.11.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42851787,100.0,-94000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bejer Invest ApS,"Kongehaven 17, 2765 Smørum",Egedal,10.09.1975,Ikke oplyst,Ikke oplyst,Anpartsselskab,53877710,200.0,-349000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elcor Sønderborg N A/S,"Grundtvigs Alle 165-169, 6400 Sønderborg",Sønderborg,21.12.1972,66.0,Mellemstor,Aktieselskab,43520318,6.8,49222000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lyhne Production ApS,"Porsagervej 9, 3230 Græsted",Gribskov,29.05.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39612666,40.0,54000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HCTB Consulting ApS,"Bakkesvinget 188, 8700 Horsens",Horsens,27.05.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36018267,40.0,-6000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Høgh El-Teknik ApS,"Nørreheden 2, 9500 Hobro",Mariagerfjord,26.01.2018,1.0,Mikro,Anpartsselskab,39283883,50.0,1041000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lampette Lida ApS,"Vongevej 15, 7300 Jelling",Vejle,01.04.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41274476,40.0,37000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QN Development ApS,"Kummerowsvej 3 A, 9400 Nørresundby",Aalborg,09.12.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42893595,40.0,-13000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lyngsaa A/S,"Nordvej 11, 9900 Frederikshavn",Frederikshavn,27.10.2016,7.0,Mikro,Aktieselskab,38154133,1.0,3242000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WENZEL NIELSEN ApS,"Falstervej 8 A, 5800 Nyborg",Nyborg,01.04.1991,8.0,Mikro,Anpartsselskab,15108045,500.0,7346000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WildDetect ApS,"Nydamsvej 17, 8362 Hørning",Skanderborg,23.08.2021,9.0,Mikro,Anpartsselskab,42618128,40.0,7472000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VIMATIC AUTOMATION ApS,"Alsikevej 15, 8920 Randers NV",Randers,15.07.2011,9.0,Mikro,Anpartsselskab,33861540,250.0,2334000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Searine A/S,"Kirkerupvej 39, 4000 Roskilde",Roskilde,09.11.2020,12.0,Lille,Aktieselskab,41834161,1.335,1946000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NORTH-TEC Danmark ApS,"Nyvang 16, 5500 Middelfart",Middelfart,17.08.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43466429,400.0,331000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANISH AEROTECH SALES A/S,"Fabriksvej 2, 7280 Sønder Felding",Herning,19.06.1959,Ikke oplyst,Ikke oplyst,Aktieselskab,13363528,5.0,-17000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANGRIP A/S,"Rytterhaven 9, 5700 Svendborg",Svendborg,03.10.1975,37.0,Lille,Aktieselskab,54274718,600.0,80485000.0,DKK,2023.0,1,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PURIX ApS,"Bautavej 1 A, 8210 Aarhus V",Århus,30.11.2011,1.0,Mikro,Anpartsselskab,34073333,446.0,-286000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Storgaard & Vestskov ApS,"Lillevangsvej 6, 3700 Rønne",Bornholm,15.09.2023,2.0,Mikro,Anpartsselskab,44310562,40.0,-502000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lampas A/S,"Platinvej 43, 6000 Kolding",Kolding,17.12.2020,7.0,Mikro,Aktieselskab,41969393,400.0,2887000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Exalight ApS,"Hejreskovvej 15 A, 3490 Kvistgård",Helsingør,22.01.2014,2.0,Mikro,Anpartsselskab,35646647,60.0,4083000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rebello Decor ApS,"Holmekrogen 51, 2830 Virum",Lyngby-Taarbæk,13.03.2022,1.0,Mikro,Anpartsselskab,43121537,50.0,-330000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Wibe For Good ApS,"Edisonsvej 3, 5000 Odense C",Odense,15.06.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41432691,125.0,-371000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E. H. SKILTE ApS,"Snedkervej 22, 6710 Esbjerg V",Esbjerg,16.12.1976,2.0,Mikro,Anpartsselskab,34253919,40.0,454000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AV Center Cinema ApS,"Søndre Ringvej 39, 2605 Brøndby",Brøndby,01.05.1995,8.0,Mikro,Anpartsselskab,18540738,126.0,5802000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WISELED ApS,"Nellebakken 5, 3250 Gilleleje",Gribskov,18.08.2003,23.0,Lille,Anpartsselskab,27311776,400.0,-2581000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BEAS A/S,"Brørupvænget 10, 7650 Bøvlingbjerg",Lemvig,01.02.1997,17.0,Lille,Aktieselskab,19943178,790.0,7402000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RKJ Technique ApS,"Grønsundsvej 278, 4800 Nykøbing F",Guldborgsund,10.11.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42844144,40.0,13000.0,DKK,2024.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALLENBERG A/S,"Hole Skovvej 50, 5210 Odense NV",Odense,15.01.2003,Ikke oplyst,Ikke oplyst,Aktieselskab,10112451,1.0,179000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ON Signal Industri ApS,"Jyllandsvej 44, 5500 Middelfart",Middelfart,28.03.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40519815,75.0,-4000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Electronics ApS,"Gaden 40, 4230 Skælskør",Slagelse,07.11.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,39068435,50.0,0.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KUHLMANN EL-VARME A/S,"Tarupvej 51, 5210 Odense NV",Odense,19.06.2001,19.0,Lille,Aktieselskab,26085942,500.0,27879000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tech Automation ApS,"Herredsvej 15, 8723 Løsning",Hedensted,21.12.2021,24.0,Lille,Anpartsselskab,42920983,40.0,8036000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRANSMOTOR ApS,"Lemtorpvej 13-17, 7620 Lemvig",Lemvig,20.05.2003,8.0,Mikro,Anpartsselskab,27164846,125.0,8669000.0,DKK,2024.0,1,0,27,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinno ApS,"Elevvej 97, 8200 Aarhus N",Århus,15.08.2016,1.0,Mikro,Anpartsselskab,37932256,50.0,7505000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DANOTHERM ELECTRIC A/S,"Mårkærvej 1, 2630 Taastrup",Høje-Taastrup,23.01.2003,50.0,Mellemstor,Aktieselskab,10126061,1.0,51977000.0,DKK,2023.0,1,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
