Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",Fremstilling af plastemballage,Fremstilling af andre plastprodukter,Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger,Forarbejdning og færdigbehandling af plastprodukter,Fremstilling af døre og vinduer af plast,Fremstilling af andre gummiprodukter,Fremstilling af bygningsartikler af plast
KVIKFORM A/S,"Thyregodvej 58, 7323 Give",Vejle,30.06.2003,2.0,Mikro,Aktieselskab,27278329,500.0,921000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KIBODAN A/S,"Krondalvej 7, 2610 Rødovre",Rødovre,23.01.2007,12.0,Lille,Aktieselskab,30234189,2.765,5310000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VALLY-MATIC A/S,"Park Alle 11, 6600 Vejen",Vejen,06.04.1981,12.0,Lille,Aktieselskab,64868314,1.0,3180000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMA PLASTICS ApS,"Marienlystvej 37, 7800 Skive",Skive,25.06.2013,3.0,Mikro,Anpartsselskab,35384782,160.0,2394000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VULKAN DÆK A/S,"Metervej 16, 8940 Randers SV",Randers,25.01.1990,27.0,Lille,Aktieselskab,13810338,500.0,10824000.0,DKK,2023.0,0,0,22,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rosenberg-Valby-Rødovre bedem/begr. ApS,"Rødovre Centrum 1 P 2 273, 2610 Rødovre",Rødovre,06.12.2015,2.0,Mikro,Anpartsselskab,37279323,40.0,2069000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAPYRO-TEX A/S,"Skinderskovvej 32-36, 2730 Herlev",Herlev,21.12.1953,25.0,Lille,Aktieselskab,63642010,20.0,52185000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETRA PAK INVENTING A/S,"Mads Clausens Vej 17, 9800 Hjørring",Hjørring,22.12.1975,57.0,Mellemstor,Aktieselskab,55359210,1.0,41105000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OM-HU.dk ApS,"Grænsevej 3, 6960 Hvide Sande",Ringkøbing-Skjern,03.06.2020,2.0,Mikro,Anpartsselskab,41403950,90.0,690000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Trioworld Nyborg A/S,"Tåsingevej 1, 5800 Nyborg",Nyborg,01.01.1992,164.0,Mellemstor,Aktieselskab,16165476,40.0,140264000.0,DKK,2024.0,1,0,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3L OFFICE PRODUCTS A/S,"Vibækvej 100, 5690 Tommerup",Assens,25.06.2002,44.0,Lille,Aktieselskab,26664888,2.0,22621000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PROFIL PLAST ApS,"Glarmestervej 4, 7000 Fredericia",Fredericia,17.05.2002,Ikke oplyst,Ikke oplyst,Anpartsselskab,26611237,125.0,985000.0,DKK,2024.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRIMO VINDUER A/S,"Gl Møllevej 5 B, 6660 Lintrup",Vejen,11.06.1980,51.0,Mellemstor,Aktieselskab,66031012,500.0,19383000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KELLPO A/S,"Vilhelmsborgvej 5, 7700 Thisted",Thisted,01.07.2001,53.0,Mellemstor,Aktieselskab,26110416,1.05,35223000.0,DKK,2023.0,1,1,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FL Plast ApS,"Stenderupvej 32, 6091 Bjert",Kolding,10.05.1985,8.0,Mikro,Anpartsselskab,77926518,200.0,9700000.0,DKK,2024.0,1,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KKI PLAST ApS,"Ambolten 33 D, 6000 Kolding",Kolding,24.06.2005,9.0,Mikro,Anpartsselskab,28853416,125.0,5017000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FINN HOLDING ApS,"Kallerupvej 2, 4400 Kalundborg",Kalundborg,29.09.1982,Ikke oplyst,Ikke oplyst,Anpartsselskab,69412114,200.0,-47000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DANYL PLASTTEKNIK A/S,"Kystvej 7, 3050 Humlebæk",Fredensborg,15.07.2009,2.0,Mikro,Aktieselskab,32292526,500.0,780000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TOPPAC A/S,"Metervej 2, 8940 Randers SV",Randers,03.10.2001,43.0,Lille,Aktieselskab,26258251,510.0,29117000.0,DKK,2023.0,1,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ST PLAST a/s,"Falkevej 3, 6705 Esbjerg Ø",Esbjerg,02.04.1987,57.0,Mellemstor,Aktieselskab,10836743,502.0,48594000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurvatur A/S,"Norgesvej 51 U, 6100 Haderslev",Haderslev,09.07.2020,13.0,Lille,Aktieselskab,41507845,421.0,1763000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TINBY A/S,"Snavevej 6-10, 5471 Søndersø",Nordfyns,05.05.2006,62.0,Mellemstor,Aktieselskab,29612900,10.0,41721000.0,DKK,2023.0,1,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ROLF JENSEN ApS,"Søvang Alle 10, 2770 Kastrup",Tårnby,22.01.1986,1.0,Mikro,Anpartsselskab,10580382,200.0,447000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dækpartner A/S,"Metervej 16, 8940 Randers SV",Randers,31.10.1990,182.0,Mellemstor,Aktieselskab,14808701,6.04,48204000.0,DKK,2023.0,0,0,22,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXCELLENT SYSTEMS A/S,"Møllevej 2, 8544 Mørke",Syddjurs,29.02.2000,22.0,Lille,Aktieselskab,25276183,1.0,12062000.0,DKK,2024.0,1,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZAR-PLAST ApS,"Tjærebyvej 101, 4000 Roskilde",Roskilde,28.05.1997,Ikke oplyst,Ikke oplyst,Anpartsselskab,20102098,200.0,336000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDISK WAVIN A/S,"Wavinvej 1, 8450 Hammel",Favrskov,15.05.1957,279.0,Stor,Aktieselskab,41895128,28.463,177703000.0,DKK,2023.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H. P. INDUSTRIAL A/S,"Bjarkevej 6, 8464 Galten",Skanderborg,01.08.1989,22.0,Lille,Aktieselskab,13394393,1.015,9369000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NORLIP A/S,"Svejsegangen 12, 2690 Karlslunde",Greve,18.12.1979,26.0,Lille,Aktieselskab,89403316,1.0,4447000.0,DKK,2024.0,0,0,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIKA DANMARK A/S,"Lyngbakkevej 6, 8643 Ans By",Silkeborg,04.07.1985,93.0,Mellemstor,Aktieselskab,78098511,500.0,52855000.0,DKK,2024.0,1,1,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kirk Plast Complete A/S,"Hjardalvej 20, 7700 Thisted",Thisted,17.12.2010,30.0,Lille,Aktieselskab,33367155,510.0,13027000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
S&P A/S,"Industrivej 19, 5750 Ringe",Faaborg-Midtfyn,01.03.2000,1.0,Mikro,Aktieselskab,10019427,2.705,18756000.0,DKK,2024.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFBOARD PRODUCTION ApS,"Løhdesvej 6, 7442 Engesvang",Ikast-Brande,01.07.2008,3.0,Mikro,Anpartsselskab,31603404,126.0,640000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ANTEX PLAST A/S,"Vestergade 28-30, 8860 Ulstrup",Favrskov,29.06.1999,8.0,Mikro,Aktieselskab,21836044,5.0,5906000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CENTEC ApS,"Brombærvej 4, 4690 Haslev",Faxe,03.09.2002,1.0,Mikro,Anpartsselskab,26768535,129.0,476000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SCANLITE VINDUER ApS,"Kystvej 188, 9280 Storvorde",Aalborg,22.03.2010,1.0,Mikro,Anpartsselskab,32827608,80.0,-36000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TOSA ApS,"Frederiksberg Alle 58 4 tv, 1820 Frederiksberg C",Frederiksberg,06.04.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36705620,50.0,-76000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hangerlock ApS,"Fjordvej 24, 6000 Kolding",Kolding,12.01.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,42970220,40.0,-11000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Fray Plast ApS,"Broby Kirkevej 30, 5270 Odense N",Odense,08.06.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32161820,125.0,-7000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pack Flex Development ApS,"Industrivej Nord 5, 7400 Herning",Herning,08.12.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33374984,40.0,-1000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AMMERAAL BELTECH MODULAR A/S,"Hjulmagervej 21, 7100 Vejle",Vejle,29.03.2000,162.0,Mellemstor,Aktieselskab,25539419,3.0,214185000.0,DKK,2023.0,1,1,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GIBO PLAST A/S,"Ferrodanvej 14, 6900 Skjern",Ringkøbing-Skjern,19.06.1975,55.0,Mellemstor,Aktieselskab,52308410,40.0,33309000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ROCYCLE A/S,"Gravene 18, 5620 Glamsbjerg",Assens,02.05.2006,4.0,Mikro,Aktieselskab,29522839,500.0,1392000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
COMFIL ApS,"Karolinelundsvej 2, 8883 Gjern",Silkeborg,01.09.2001,6.0,Mikro,Anpartsselskab,26208580,125.0,4348000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Berry Superfos Stilling A/S,"Industrivej 12, 8660 Skanderborg",Skanderborg,03.05.2001,2.0,Mikro,Aktieselskab,26031303,30.0,155448000.0,DKK,2024.0,1,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DeProSa ApS,"Dalagervej 17, 8700 Horsens",Horsens,30.06.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37838071,50.0,-7000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Customized Compound Solutions A/S,"Søholm Park 1, 2900 Hellerup",Gentofte,04.05.2015,Ikke oplyst,Ikke oplyst,Aktieselskab,36732776,1.0,1012000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
THECANKEY ApS,"Lufthavnsvej 7 A, 6580 Vamdrup",Kolding,01.04.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29509867,125.0,14000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tetra Polimer Europe ApS,"Teisensvej 5, 5000 Odense C",Odense,01.06.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42455598,40.0,19000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
POLYFORM A/S,"Lilleringvej 24, 8462 Harlev J",Århus,25.05.1998,7.0,Mikro,Aktieselskab,21080675,1.123,4271000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A/S NYGAARDS LATEX. ROUSTHØJE,"Vardevej 37, 6818 Årre",Varde,20.12.1981,1.0,Mikro,Aktieselskab,71118312,500.0,-94000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Totle Development ApS,"Baldersbuen 2, 2640 Hedehusene",Høje-Taastrup,31.05.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37769096,100.0,-9000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ML PRODUKTION ApS,"Kildevej 19, 4771 Kalvehave",Vordingborg,01.04.1999,Ikke oplyst,Ikke oplyst,Anpartsselskab,21627801,125.0,-44000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Greener Packaging Danmark ApS,"Savsvinget 4, 2970 Hørsholm",Hørsholm,21.06.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42496006,40.0,,nan,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J. KREBS & CO. A/S,"Industrivej 1-3, 3320 Skævinge",Hillerød,01.09.1991,48.0,Lille,Aktieselskab,15501472,1.2,18436000.0,DKK,2023.0,0,0,22,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MARTIN MUNKEBO A/S,"Fabriksvej 5, 7600 Struer",Struer,25.02.1971,81.0,Mellemstor,Aktieselskab,30826914,500.0,28095000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DANISH LABEL COATING A/S,"Porsvej 4 C, 9000 Aalborg",Aalborg,01.06.1987,5.0,Mikro,Aktieselskab,11132200,1.1,1494000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J. J. KÜHN A/S,"Elektronvej 3, 2670 Greve",Greve,31.07.1974,14.0,Lille,Aktieselskab,49359616,625.0,11100000.0,DKK,2024.0,1,1,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
All Plast Engineering Ltd. ApS,"Knud Højgaards Vej 9, 2860 Søborg",Gladsaxe,01.10.2019,1.0,Mikro,Anpartsselskab,40844376,40.0,3332000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-B-K Holding ApS,"Højløkke Allé 24, 5270 Odense N",Odense,05.01.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40178937,50.0,189000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ROTEK A/S,"Vardevej 140, 7280 Sønder Felding",Herning,27.09.2005,26.0,Lille,Aktieselskab,29132003,1.0,23320000.0,DKK,2023.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEURATECH ApS,"Palle Juul-Jensens Boulevard 82, 8200 Aarhus N",Århus,07.05.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32893368,125.0,-116000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FREE-FORM A/S,"Bødkervej 8, 7100 Vejle",Vejle,27.06.2003,11.0,Lille,Aktieselskab,27226787,500.0,10573000.0,DKK,2023.0,1,1,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COLD FLOOD PREVENTION ApS,"Pastelvej 14, 9850 Hirtshals",Hjørring,28.02.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35680160,63.0,-22000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BK PLAST ApS,"Gl Skanderborgvej 91, 8472 Sporup",Favrskov,26.03.1998,Ikke oplyst,Ikke oplyst,Anpartsselskab,20845384,125.0,37000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Simul Fortis ApS,"Bredeshave Strand 3, 4733 Tappernøje",Næstved,11.08.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44231166,40.0,-9000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPT Vilecon A/S,"Baldersbuen 2, 2640 Hedehusene",Høje-Taastrup,18.12.2015,44.0,Lille,Aktieselskab,37312339,616.0,31955000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DANSK POLY FABRIK A/S,"Salbjergvej 42, 4622 Havdrup",Solrød,19.03.1980,13.0,Lille,Aktieselskab,89473616,500.0,10964000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CLAUDIUS FOAM ApS,"Rampevej 5, 9600 Aars",Vesthimmerland,06.04.2004,19.0,Lille,Anpartsselskab,27686672,125.0,8772000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AADUM GLASFIBER A/S,"Skodsbølvej 1 B, 6880 Tarm",Ringkøbing-Skjern,13.11.1997,6.0,Mikro,Aktieselskab,20503432,1.0,2203000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BI-PLAST ApS,"Græsholmevej 57, 5700 Svendborg",Svendborg,24.09.1975,11.0,Lille,Anpartsselskab,53209718,250.0,4303000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AVK GUMMI A/S,"Mosegårdsvej 1, 8670 Låsby",Skanderborg,30.09.1975,223.0,Mellemstor,Aktieselskab,55375313,5.0,91990000.0,DKK,2024.0,1,1,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Berry Bramlage Kolding A/S,"Gl. Donsvej 12, 6000 Kolding",Kolding,01.04.1976,1.0,Mikro,Aktieselskab,56858628,6.0,20304000.0,DKK,2023.0,1,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C.R. STEGLICH & CO. A/S,"Islandsgade 38, 4690 Haslev",Faxe,08.11.1967,7.0,Mikro,Aktieselskab,24892328,700.0,4702000.0,DKK,2024.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KI Development ApS,"Langløkke 16, 6470 Sydals",Sønderborg,21.04.2017,1.0,Mikro,Anpartsselskab,38583778,50.0,-23000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOPLASTIC A/S,"Bjergvangen 2, 3060 Espergærde",Helsingør,15.11.1969,66.0,Mellemstor,Aktieselskab,22032917,2.5,41389000.0,DKK,2023.0,1,0,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RaXit International ApS,"Kongevejen 345 A, 2840 Holte",Rudersdal,16.11.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38197215,40.0,-3000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GBC Plast ApS,"Mørkager 14, 2620 Albertslund",Albertslund,09.12.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40994335,40.0,286000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PMH PLAST ApS,"Hammersholt Erhvervspark 26, 3400 Hillerød",Hillerød,08.04.2014,10.0,Lille,Anpartsselskab,35825053,50.0,2177000.0,DKK,2024.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNILITE A/S,"Snæbumvej 26, 9500 Hobro",Mariagerfjord,03.07.1987,82.0,Mellemstor,Aktieselskab,10906148,500.0,50931000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALPHA PLAST ApS,"Toftegade 7, 4000 Roskilde",Roskilde,02.05.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,26018927,125.0,-6000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UF2023 A/S,"Industrivænget 11, 7400 Herning",Herning,17.12.1976,Ikke oplyst,Ikke oplyst,Aktieselskab,63531316,400.0,5215000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ACCOFLUOR A/S,"Topstykket 21-23, 3460 Birkerød",Rudersdal,01.07.2005,25.0,Lille,Aktieselskab,28870493,3.0,12637000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AKRYLVÆRKSTEDET ApS,"Sydmarken 50, 2860 Søborg",Gladsaxe,15.04.1997,2.0,Mikro,Anpartsselskab,19978931,810.0,1054000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FUZZYLAB ApS,"Rådhusvej 34, 2920 Charlottenlund",Gentofte,23.09.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33167083,80.0,,nan,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TRIO SKILTE ApS,"Industrivænget 3, 3400 Hillerød",Hillerød,30.08.2002,1.0,Mikro,Anpartsselskab,26783496,125.0,505000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MARSØ PLAST A/S,"Erritsø Møllebanke 11, 7000 Fredericia",Fredericia,15.01.2010,9.0,Mikro,Aktieselskab,32672167,501.0,6990000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCD DESIGN ApS,"Bispevej 25 1 tv, 2400 København NV",København,19.08.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36074434,50.0,0.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mathiesen Plast A/S,"Sæddervej 17, 4682 Tureby",Faxe,01.06.2020,3.0,Mikro,Aktieselskab,41411414,1.0,-69000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WOW Factory ApS,"Ringstedvej 201, 4173 Fjenneslev",Sorø,08.09.2015,3.0,Mikro,Anpartsselskab,37098140,50.0,1244000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JØRGEN KRUUSE A/S,"Havretoften 4, 5550 Langeskov",Kerteminde,02.05.1939,138.0,Mellemstor,Aktieselskab,35243216,1.0,162946000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EHRNO FLEXIBLE A/S,"Industrivej Nord 5, 7400 Herning",Herning,18.08.1977,32.0,Lille,Aktieselskab,82530711,600.0,21293000.0,DKK,2024.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECOBETA A/S,"Staunvej 29, 9240 Nibe",Aalborg,29.06.2005,1.0,Mikro,Aktieselskab,28898363,523.0,-81000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CREATIVE TECHNIC ApS,"Frederiksberg Alle 100 kl, 1820 Frederiksberg C",Frederiksberg,01.07.1988,2.0,Mikro,Anpartsselskab,12325630,125.0,898000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
