Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler",Fremstilling af andre organiske basiskemikalier,"Fremstilling af parfume, hårshampoo, tandpasta mv.",Fremstilling af andre kemiske produkter i.a.n.,Fremstilling af plast i ubearbejdet form,Fremstilling af gødningsstoffer og nitrogenprodukter,"Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer",Fremstilling af industrigasser,"Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter",Fremstilling af kemofibre,Fremstilling af andre uorganiske basiskemikalier,Fremstilling af farvestoffer og pigmenter,Fremstilling af flydende biobrændstoffer
Vertanical Denmark ApS,"Birketvedvejen 31, 5290 Marslev",Kerteminde,01.02.2019,22.0,Lille,Anpartsselskab,40227792,8.0,34916000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIEMANN A/S,"Krakasvej 8, 3400 Hillerød",Hillerød,12.01.1990,71.0,Mellemstor,Aktieselskab,13844070,1.0,96200000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPont de Nemours Denmark ApS,"Engdalsvej 96 B, 8220 Brabrand",Århus,23.01.2020,3.0,Mikro,Anpartsselskab,41119136,41.0,6034000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balgårde Landhandel ApS,"Balgårdsvej 36, 8981 Spentrup",Randers,07.12.2021,1.0,Mikro,Anpartsselskab,42903825,40.0,226000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANSK AFFALDSMINIMERING ApS,"Industriparken 2, 8870 Langå",Favrskov,16.05.2011,10.0,Lille,Anpartsselskab,33649142,397.0,8164000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S ORTHANA KEMISK FABRIK,"Englandsvej 350-356, 2770 Kastrup",Tårnby,07.03.1934,40.0,Lille,Aktieselskab,15248912,1.0,25417000.0,DKK,2024.0,0,0,20,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COSBORG A/S,"Dampfærgevej 24 C 3 th, 2100 København Ø",København,01.10.1996,1.0,Mikro,Aktieselskab,19624706,500.0,397000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRANDMØLLEN A/S,"Strandvejen 895, 2930 Klampenborg",Lyngby-Taarbæk,01.01.1990,133.0,Mellemstor,Aktieselskab,13913072,10.0,106225000.0,DKK,2023.0,1,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Solar Park Kassø ApS,"Kassøvej 23, 6230 Rødekro",Aabenraa,24.01.2020,27.0,Lille,Anpartsselskab,41125411,100.0,147039000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HANJA PLAST ApS,"Hornsyld Industrivej 3, 8783 Hornsyld",Hedensted,21.12.2005,5.0,Mikro,Anpartsselskab,29212341,125.0,2051000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLAR A/S,"Hylkevej 31, 8660 Skanderborg",Skanderborg,14.06.2010,11.0,Lille,Aktieselskab,33036566,2.5,10890000.0,DKK,2024.0,0,0,20,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cytiva Denmark Manufacturing ApS,"Strandhaven 12, 2665 Vallensbæk Strand",Vallensbæk,01.01.1999,21.0,Lille,Anpartsselskab,21595888,150.0,-39989000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRO-REN A/S,"Springstrup 7, 4300 Holbæk",Holbæk,22.11.2006,18.0,Lille,Aktieselskab,30069935,700.0,11185000.0,DKK,2023.0,0,0,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHARMA-TRADE A/S,"Skaaremosevej 11-14, 3230 Græsted",Gribskov,11.04.1984,Ikke oplyst,Ikke oplyst,Aktieselskab,87339815,3.0,0.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZP Group ApS,"Saunte Bygade 46 A st, 3100 Hornbæk",Helsingør,01.11.2013,15.0,Lille,Anpartsselskab,35525505,80.0,55543000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americhem Europe A/S,"Bohrsvej 8, 6760 Ribe",Esbjerg,26.04.2000,74.0,Mellemstor,Aktieselskab,25352440,1.429,36870000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lars Frey ApS,"Torvet 1 2 mf, 4100 Ringsted",Ringsted,21.08.2020,4.0,Mikro,Anpartsselskab,41604859,40.0,1247000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RoscoPharm ApS,"Gentoftegade 56 B 1, 2820 Gentofte",Gentofte,02.08.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43431102,40.0,,nan,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORGANIC BEAUTY APS,"Egehegnet 21, 7300 Jelling",Vejle,18.09.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36393440,40.0,,nan,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK BEAUTY A/S,"Peder Larsens Vej 3, 7330 Brande",Ikast-Brande,19.01.2015,9.0,Mikro,Aktieselskab,36493151,500.0,2797000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIPAK A/S,"Marktoften 3 C, 8464 Galten",Skanderborg,03.12.1996,19.0,Lille,Aktieselskab,19676609,4.0,24215000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HBS CITY ApS,"Tornebuskegade 3, 1131 København K",København,20.12.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,28333684,125.0,15000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPARMED ApS,"Ryttermarken 2, 3520 Farum",Furesø,19.09.2007,26.0,Lille,Anpartsselskab,30898575,125.0,19005000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DANKEMI A/S,"Venusvej 24, 6000 Kolding",Kolding,01.01.1990,20.0,Lille,Aktieselskab,13892733,1.0,23424000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sodran A/S,"Elbjergvej 8, 8420 Knebel",Syddjurs,22.12.1988,2.0,Mikro,Aktieselskab,12723644,500.0,13238000.0,DKK,2024.0,0,0,20,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucia Care ApS,"Skt. Anne Plads 2 3, 5000 Odense C",Odense,29.06.2021,6.0,Mikro,Anpartsselskab,42499781,44.0,-912000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIKA DANMARK A/S,"Hirsemarken 5, 3520 Farum",Furesø,01.10.1960,76.0,Mellemstor,Aktieselskab,55188114,7.0,89477000.0,DKK,2023.0,1,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LITHOINK ApS,"Strandgårds Alle 64, 3600 Frederikssund",Frederikssund,01.04.2012,2.0,Mikro,Anpartsselskab,34473501,80.0,455000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOCORRECTION A/S,"Amager Strandvej 60, 2300 København S",København,16.09.2004,Ikke oplyst,Ikke oplyst,Aktieselskab,27958362,515.0,-21000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROC DANMARK ApS,"Dunkærgade 16, 5970 Ærøskøbing",Ærø,13.12.1993,6.0,Mikro,Anpartsselskab,17478184,130.0,1820000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB Danmark A/S,"Håndværkervej 6, 8840 Rødkærsbro",Viborg,08.10.2020,1.0,Mikro,Aktieselskab,41745193,400.0,1187000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMMELEV A/S,"Emmelevgyden 25, 5450 Otterup",Nordfyns,08.06.1978,64.0,Mellemstor,Aktieselskab,54449712,20.5,199838000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KU Dyes ApS,"Universitetsparken 5, 2100 København Ø",København,10.07.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36960914,60.0,98000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIM.dk ApS,"Norgesvej 14, 5700 Svendborg",Svendborg,18.05.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43288687,40.0,,nan,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puris Scandinavia ApS,"Mosetoften 6, 8722 Hedensted",Hedensted,24.01.2023,5.0,Mikro,Anpartsselskab,43797735,40.0,1602000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McBride Denmark A/S,"Lægårdvej 90-94, 7500 Holstebro",Holstebro,19.01.1962,273.0,Stor,Aktieselskab,45062813,20.0,90003000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
International N&H Denmark ApS,"Parallelvej 16, 2800 Kongens Lyngby",Lyngby-Taarbæk,09.08.1881,1041.0,Stor,Anpartsselskab,11350356,844.666,1049000000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASH Makes SPV01 ApS,"Østersøvej 28 A, 2150 Nordhavn",København,16.06.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43331787,400.0,-273000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ByWe A/S,"Virkeholm 3 B st, 2730 Herlev",Herlev,14.09.2017,8.0,Mikro,Aktieselskab,38937677,500.0,6983000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOTASK ApS,"Blækhatten 33, 5220 Odense SØ",Odense,17.08.2006,2.0,Mikro,Anpartsselskab,29789983,126.0,110000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jysk Kemi Service A/S,"Gl Struervej 50, 7500 Holstebro",Holstebro,28.04.2015,18.0,Lille,Aktieselskab,36729414,1.0,10478000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW FUEL A/S,"Agro Food Park 13, 8200 Aarhus N",Århus,14.01.2015,Ikke oplyst,Ikke oplyst,Aktieselskab,36501928,500.0,467000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bada ApS,"Egevej 45, 4000 Roskilde",Roskilde,09.09.2018,1.0,Mikro,Anpartsselskab,39845369,40.0,134000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fejø Krabber ApS,"Herredsvej 210, 4944 Fejø",Lolland,18.02.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40298932,40.0,,nan,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epic Oils ApS,"Kalvehave Mark 31, 4771 Kalvehave",Vordingborg,22.02.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43079107,40.0,-66000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMINOVA A/S,"Thyborønvej 78, 7673 Harboøre",Lemvig,01.01.1989,544.0,Stor,Aktieselskab,12760043,300.0,124675000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MORGENFRUERNE PÅ LÆSØ ApS,"Storhavevej 4, 9940 Læsø",Læsø,07.01.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31171741,126.0,-25000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH CLEAN TECNOLOGY ApS,"Voddervej 1, 6780 Skærbæk",Tønder,15.04.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,27723616,125.0,172000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEX GØDNING A/S,"Masnedøvej 63, 4760 Vordingborg",Vordingborg,06.08.1971,Ikke oplyst,Ikke oplyst,Aktieselskab,33839618,1.0,2566000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyphox ApS,"Gammel Holtevej 108 C, 2840 Holte",Rudersdal,15.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40939008,40.0,-4000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Borealis Denmark ApS,"Lautrupsgade 11, 2100 København Ø",København,25.10.2018,1.0,Mikro,Anpartsselskab,39976951,30.0,2296000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gundal ApS,"Højagervej 6, 6623 Vorbasse",Billund,30.06.2022,12.0,Lille,Anpartsselskab,43362151,160.0,6788000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
First Ammonia Denmark ApS,"Havnegade 39, 1058 København K",København,26.10.2022,1.0,Mikro,Anpartsselskab,43612875,40.0,1626000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASAVA KEMI ApS,"Bodøvej 12, 5700 Svendborg",Svendborg,29.01.2004,5.0,Mikro,Anpartsselskab,27567274,750.0,1734000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAMTRADE A/S,"Havnepladsen 3 A st th, 5700 Svendborg",Svendborg,21.01.1997,Ikke oplyst,Ikke oplyst,Aktieselskab,19781879,500.0,-18000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PROMAL A/S,"Joachim Wellers Vej 27, 7500 Holstebro",Holstebro,05.02.1998,18.0,Lille,Aktieselskab,20669438,1.004,15488000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Selskabet af 01.10.2024 ApS,"Adelers Alle 155, 4540 Fårevejle",Odsherred,14.07.2014,16.0,Lille,Anpartsselskab,36047720,50.0,6550000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affycon ApS,"Espedalen 89, 8240 Risskov",Århus,01.09.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37049794,72.0,3000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo Food ApS,"Gødstrupvej 2, 7400 Herning",Herning,15.08.2018,1.0,Mikro,Anpartsselskab,39785781,50.0,476000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mellow Mind ApS,"Søgade 49, 6000 Kolding",Kolding,17.02.2015,1.0,Mikro,Anpartsselskab,36550899,40.0,172000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILBJERG FYRVÆRKERI FABRIK ApS,"Ilbjergvej 6, 7870 Roslev",Skive,01.07.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33778023,80.0,43000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sæberiet Ærø ApS,"Vester Bregninge 31, 5970 Ærøskøbing",Ærø,12.08.2020,3.0,Mikro,Anpartsselskab,41588101,250.0,258000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anakof group ApS,"Sjællandsvej 7, 9900 Frederikshavn",Frederikshavn,01.07.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43365371,40.0,-40000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NorGuard ApS,"Skibsbyggervej 21, 2660 Brøndby Strand",Brøndby,23.06.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42489298,100.0,286000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRS ApS,"Mandal Alle 9 A, 5500 Middelfart",Middelfart,01.11.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31871336,210.0,754000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STRUERS ApS,"Pederstrupvej 84, 2750 Ballerup",Ballerup,01.11.1991,226.0,Mellemstor,Anpartsselskab,15683309,3.0,506680000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oterra A/S,"Agern Alle 24, 2970 Hørsholm",Hørsholm,01.01.2014,197.0,Mellemstor,Aktieselskab,35638784,9.202,235171000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rosco Diagnostica ApS,"Stensmosevej 24 A, 2620 Albertslund",Albertslund,06.06.2003,4.0,Mikro,Anpartsselskab,27210341,600.0,2670000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGT Group ApS,"Kastanievang 2, 3670 Veksø Sjælland",Egedal,05.11.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37214426,100.0,0.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lurrell Sustainable Solutions A/S,"Stålvej 3, 6000 Kolding",Kolding,01.10.2020,Ikke oplyst,Ikke oplyst,Aktieselskab,41726490,1.0,-110000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aks2tal ApS,"Fruervej 9, 4621 Gadstrup",Roskilde,09.06.2022,5.0,Mikro,Anpartsselskab,43316788,40.0,2439000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUTISAN LABORATORIUM ApS,"Nordrupvej 88-90, 4100 Ringsted",Ringsted,22.06.1984,1.0,Mikro,Anpartsselskab,76570612,500.0,-16000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nolist ApS,"Højdevej 28, 2670 Greve",Greve,23.06.2021,2.0,Mikro,Anpartsselskab,42490083,40.0,321000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSI Diagnostica A/S,"Herredsvejen 2, 3400 Hillerød",Hillerød,11.12.2015,132.0,Mellemstor,Aktieselskab,37294535,1.765,107395000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTESE A/S,"Industriholmen 13, 2650 Hvidovre",Hvidovre,31.08.1989,142.0,Mellemstor,Aktieselskab,13456402,2.35,133549000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReGaia ApS,"Tømmerupvej 166, 2791 Dragør",Tårnby,13.09.2022,2.0,Mikro,Anpartsselskab,43522663,40.0,-1368000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.P.G. ApS,"Egeløvsvej 14, 2830 Virum",Lyngby-Taarbæk,22.10.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14707476,108.0,132000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DANISH FIBRES ApS,"Snedkervej 3, 6800 Varde",Varde,02.02.2011,28.0,Lille,Anpartsselskab,32321895,500.0,5497000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Flügger Denmark A/S,"Islevdalvej 151, 2610 Rødovre",Rødovre,24.03.1954,321.0,Stor,Aktieselskab,45240118,15.5,329108000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
danBlue ApS,"Venusvej 24, 6000 Kolding",Kolding,23.02.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38445944,50.0,2466000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNC PRODUCTS ApS,"Vestervænget 24, 6710 Esbjerg V",Esbjerg,25.06.1974,2.0,Mikro,Anpartsselskab,50056511,300.0,-89000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STERLING POLISH COMPANY A/S,"Nybrovej 95, 2820 Gentofte",Gentofte,01.04.2008,12.0,Lille,Aktieselskab,30510895,500.0,6528000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
