Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Forarbejdning og færdigbearbejdning af træ,Udsavning og høvling af træ,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt,"Fremstilling af andre trævarer og varer af kork, strå og flettematerialer",Fremstilling af døre og vinduer af træ,Færdigbearbejdning af trævarer,Fremstilling af sammensatte parketstave,Fremstilling af fast brændsel på basis af vegetabilsk biomasse,Fremstilling af træemballage,Fremstilling af finerplader og træbaserede plader
KOMPAN A/S,"C.F. Tietgens Boulevard 32 C, 5220 Odense SØ",Odense,07.06.1984,178.0,Mellemstor,Aktieselskab,40559817,59.1,614608000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jans Tagrenovering ApS,"Koustedvej 28, 8990 Fårup",Randers,23.02.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42173290,40.0,209000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANDIWOOD A/S INTERNATIONAL,"Mads Clausens Vej 11, 9800 Hjørring",Hjørring,01.06.1993,3.0,Mikro,Aktieselskab,17076043,500.0,4357000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Werner Holding 2015 ApS,"Herredsbjerg 18, 5683 Haarby",Assens,15.04.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36717572,50.0,260000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRELLEBORG HELÅRSHUSE-FRITIDSHUSE A/S,"Birkerød Kongevej 191, 3460 Birkerød",Rudersdal,29.01.1973,8.0,Mikro,Aktieselskab,49744013,500.0,8365000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danbox Living ApS,"Niels P Thomsens Vej 6, 7500 Holstebro",Holstebro,05.11.2017,25.0,Lille,Anpartsselskab,39069814,50.0,7260000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F. JUNCKERS INDUSTRIER A/S,"Værftsvej 4, 4600 Køge",Køge,24.02.1932,253.0,Stor,Aktieselskab,66920216,65.336,88752000.0,DKK,2023.0,1,0,16,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VESTDØREN ApS,"Vestergårdsvej 1, 6893 Hemmet",Ringkøbing-Skjern,02.04.2001,2.0,Mikro,Anpartsselskab,25982789,125.0,1046000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VTI A/S,"Nr Bjertvej 24, 7830 Vinderup",Holstebro,09.11.1990,117.0,Mellemstor,Aktieselskab,14642080,6.0,37671000.0,DKK,2024.0,1,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER MADSEN ApS,"Klaksvej 13, 4262 Sandved",Næstved,06.11.2002,1.0,Mikro,Anpartsselskab,26859247,125.0,-63000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMML ApS,"Nørretoftevej 14 B, 3200 Helsinge",Gribskov,15.04.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40458549,50.0,-9000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Habitree ApS,"Frederiksdalvej 2, 8940 Randers SV",Randers,27.03.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41274611,150.0,54000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JENSENS TRÆ- OG LISTER A/S,"Lyngvej 31 B, 4573 Højby",Odsherred,20.05.2005,3.0,Mikro,Aktieselskab,28712448,500.0,1251000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMARTWOOD A/S,"Frejasvej 102, 8600 Silkeborg",Silkeborg,04.07.2013,2.0,Mikro,Aktieselskab,35397582,500.0,3160000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANKET A/S,"Ole Rømers Vej 6, 7000 Fredericia",Fredericia,04.11.1981,7.0,Mikro,Aktieselskab,52167019,500.0,3082000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT CONSTRUCTIONS ApS,"Vandværksvej 25 B, 8620 Kjellerup",Silkeborg,02.06.1997,3.0,Mikro,Anpartsselskab,20093145,125.0,2428000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JELD-WEN DANMARK A/S,"Danmarksvej 9, 9670 Løgstør",Vesthimmerland,01.01.1991,500.0,Stor,Aktieselskab,15134739,25.0,323116000.0,DKK,2023.0,1,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gilleleje Indramning ApS,"A W Holmsvej 1 B, 3250 Gilleleje",Gribskov,23.08.1988,Ikke oplyst,Ikke oplyst,Anpartsselskab,12475373,500.0,60000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nysumlund.ApS,"Nysumvej 20, 9610 Nørager",Rebild,30.10.2017,1.0,Mikro,Anpartsselskab,39044420,40.0,76000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rammefabrikken Rødovre ApS,"Mose Alle 7 A, 2610 Rødovre",Rødovre,23.06.2017,3.0,Mikro,Anpartsselskab,38742426,50.0,1030000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EXCELLENT-HUSE ApS,"Vester Borupvej 20, 9830 Tårs",Hjørring,13.04.2005,15.0,Lille,Anpartsselskab,28682867,155.0,7158000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FANØ TØMRER & SNEDKER ApS,"Vangled 71, 6720 Fanø",Fanø,07.12.2010,5.0,Mikro,Anpartsselskab,33371888,80.0,1859000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tine K Home A/S,"M.P. Allerups Vej 45 G, 5220 Odense SØ",Odense,23.06.2017,30.0,Lille,Aktieselskab,38748343,500.0,13370000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SNEDKERIET ROSKILDE ApS,"Håndværkervej 52, 4000 Roskilde",Roskilde,08.09.2011,4.0,Mikro,Anpartsselskab,33885180,80.0,2001000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POUL WURTZ ApS,"Tyregårdvej 2, 7550 Sørvad",Herning,25.09.1985,Ikke oplyst,Ikke oplyst,Anpartsselskab,10134498,125.0,0.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
W N T K ApS,"Tuemosevej 1, 4850 Stubbekøbing",Guldborgsund,02.01.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,35873538,40.0,92000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tiny Choice ApS,"Gl. Skolevej 1 1, 7400 Herning",Herning,06.07.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44168359,40.0,-13000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALSGAARD SPÆR A/S,"Palsgårdvej 5, 7362 Hampen",Silkeborg,16.08.2005,242.0,Mellemstor,Aktieselskab,28971109,4.052,140996000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOFURN ApS,"Skægkærvej 25, 8600 Silkeborg",Silkeborg,14.01.2013,1.0,Mikro,Anpartsselskab,34904219,80.0,266000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Scapes & Monkeys ApS,"Tingstedvej 6, 2640 Hedehusene",Høje-Taastrup,05.05.2023,2.0,Mikro,Anpartsselskab,44041332,40.0,624000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schreibers Packaging A/S,"Torvegade 97, 7160 Tørring",Hedensted,12.07.2019,17.0,Lille,Aktieselskab,40667253,500.0,4130000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F.H. af 16.08.2017 ApS,"Hansensvej 11, 4200 Slagelse",Slagelse,16.08.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38860224,40.0,14000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Anpartsselskabet af 7-11-2018,"Østerskovvej 7, 6500 Vojens",Haderslev,07.11.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,40004025,50.0,-5000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TØMRERFIRMAET E. KRISTENSEN OG SØN. ELLIDSHØJ ApS,"Ellidshøjvej 59, 9230 Svenstrup J",Aalborg,27.06.1975,Ikke oplyst,Ikke oplyst,Anpartsselskab,53650228,200.0,31000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BRANDBJERG SAVVÆRK A/S,"Brandbjergvej 10, 7300 Jelling",Vejle,06.12.2010,2.0,Mikro,Aktieselskab,33360789,500.0,1083000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Næste Holding ApS,"Finervej 7, 4621 Gadstrup",Roskilde,26.03.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40382143,40.0,16000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TOMMERUP VINDUET A/S,"Kirkebjerg 15, 5690 Tommerup",Assens,22.06.1990,3.0,Mikro,Aktieselskab,14354247,510.0,1515000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DORF BØDKERI ApS,"Kvisselholtvej 22, 9330 Dronninglund",Brønderslev-Dronninglund,17.06.2003,3.0,Mikro,Anpartsselskab,27207359,200.0,2056000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TØNDER EMBALLAGE ApS,"Ndr Landevej 2 B, 6270 Tønder",Tønder,01.11.1991,8.0,Mikro,Anpartsselskab,15553049,200.0,3548000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MADERA ApS,"Nyholmvej 2, 7361 Ejstrupholm",Ikast-Brande,05.06.2008,4.0,Mikro,Anpartsselskab,30506588,125.0,2486000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACHIEVERS HOLDING ApS,"Sortbærvej 93, 8600 Silkeborg",Silkeborg,21.11.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,31083699,125.0,-20000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYTAS A/S,"Århusvej 211, 8464 Galten",Skanderborg,01.03.1998,113.0,Mellemstor,Aktieselskab,20763647,6.2,75335000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bødkeriet A/S,"Idomvej 70, 7500 Holstebro",Holstebro,26.06.2017,27.0,Lille,Aktieselskab,38748882,500.0,15831000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HTM COMPONENT ApS,"Sandvigvej 3-5, 7400 Herning",Herning,01.01.1993,25.0,Lille,Anpartsselskab,16707503,650.0,8832000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Brabrand Fineringscentral ApS,"J.P. Larsens Vej 17 A, 8220 Brabrand",Århus,27.06.2017,4.0,Mikro,Anpartsselskab,38747703,50.0,987000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DK Elements A/S,"Stenderupvej 183, 6092 Sønder Stenderup",Kolding,09.12.2022,19.0,Lille,Aktieselskab,43727699,625.0,-2002000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lignum ApS,"Fruens Bøge Allé 22, 5250 Odense SV",Odense,12.01.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38328654,50.0,1000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Thy-Maskinsnedkeri ApS,"Vestermarken 8, 7950 Erslev",Morsø,04.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40907882,40.0,208000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADAPTEO A/S,"Greve Main 33, 2670 Greve",Greve,02.04.1969,43.0,Lille,Aktieselskab,11033911,11.0,242863000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MADSEN VINDUER & DØRE ApS,"Industrivej 31, 9310 Vodskov",Aalborg,11.06.1986,16.0,Lille,Anpartsselskab,10271940,201.0,6115000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FRØSLEV TRÆ A/S,"Jens P. L. Petersens Vej 1, 6330 Padborg",Aabenraa,01.06.1990,146.0,Mellemstor,Aktieselskab,14248331,500.0,17355000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planet Living A/S,"Ørstedsvej 55, 6760 Ribe",Esbjerg,23.04.2019,2.0,Mikro,Aktieselskab,40485813,30.0,2366000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYGHOLM MASKINSNEDKERI A/S,"Vågøvej 6, 8700 Horsens",Horsens,20.05.1977,25.0,Lille,Aktieselskab,81124728,510.0,10101000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RUPINI A/S,"Vilvordevej 47 A, 2920 Charlottenlund",Gentofte,06.07.1987,Ikke oplyst,Ikke oplyst,Aktieselskab,10920590,500.0,-5000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vindunor A/S,"Ålborgvej 86, 9800 Hjørring",Hjørring,03.12.2020,178.0,Mellemstor,Aktieselskab,41920785,11.0,102623000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ODENSE TRÆFORARBEJDNING ApS,"Gøteborggade 12, 5000 Odense C",Odense,29.11.2013,9.0,Mikro,Anpartsselskab,25146964,80.0,3499000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIM TRÆINDUSTRI A/S,"Svensgaardvej 11, 6980 Tim",Ringkøbing-Skjern,15.06.1979,5.0,Mikro,Aktieselskab,86737612,500.0,4939000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dahl Jensen ApS,"Audebovej 16, 4300 Holbæk",Holbæk,08.11.2022,1.0,Mikro,Anpartsselskab,43632337,40.0,122000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRKE HØRUP SAVVÆRK OG PALLEFABRIK A/S,"Kirke Hørupvej 19, 6470 Sydals",Sønderborg,22.12.1993,3.0,Mikro,Aktieselskab,17501976,501.0,342000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Varming Savværk ApS,"Varming Vesterby 2 C, 6760 Ribe",Esbjerg,13.05.2020,13.0,Lille,Anpartsselskab,41401109,40.0,3862000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
THORS DESIGN ApS,"Møltrupvej 29, 7480 Vildbjerg",Herning,01.06.1997,8.0,Mikro,Anpartsselskab,20177330,150.0,3286000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUPPLY CHAIN TURNAROUND Aps,"Fortgård Alle 56, 2770 Kastrup",Tårnby,26.08.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40746110,50.0,-2000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Guldborg Legepladser ApS,"Ulvevej 25, 4622 Havdrup",Solrød,25.08.2021,9.0,Mikro,Anpartsselskab,42624713,40.0,4323000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SERRIDSLEV TRÆINDUSTRI A/S,"Nebelvej 37, 8700 Horsens",Horsens,08.09.2006,8.0,Mikro,Aktieselskab,29849900,600.0,21526000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordsjælland Designmontering ApS,"Fredskovvej 7, 2840 Holte",Rudersdal,20.10.2016,1.0,Mikro,Anpartsselskab,38122908,40.0,-432000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryborg Tømrer ApS,"Hedeskovvej 20, 8520 Lystrup",Århus,18.05.2022,2.0,Mikro,Anpartsselskab,43268457,40.0,866000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERFECTUM ApS,"Voldbjergvej 16 st tv, 8240 Risskov",Århus,14.07.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34617317,80.0,-842000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.H. INDUSTRI A/S,"Smedevej 17, 7430 Ikast",Ikast-Brande,01.11.1987,126.0,Mellemstor,Aktieselskab,11567436,1.0,65920000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JYDSK BLINDRAMMEFABRIK A/S,"Møgelhøj 12, 8520 Lystrup",Århus,28.06.1999,25.0,Lille,Aktieselskab,21788988,600.0,17336000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RINGSTED SPÆRFABRIK A/S,"Balstrupvej 107 B, 4100 Ringsted",Ringsted,22.08.2003,3.0,Mikro,Aktieselskab,27324363,1.0,20325000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dnora A/S,"Industrivej 17, 3200 Helsinge",Gribskov,19.04.2021,Ikke oplyst,Ikke oplyst,Aktieselskab,42317748,400.0,32000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB-DØRE OG VINDUER ApS,"Saksholmvej 26, 4733 Tappernøje",Næstved,17.12.2002,6.0,Mikro,Anpartsselskab,26915201,125.0,1937000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A.V. JEPPESEN TØMRER- OG SNEDKER- MESTRE A/S,"Mandal Alle 4, 5500 Middelfart",Middelfart,01.09.1989,18.0,Lille,Aktieselskab,13437874,500.0,7702000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grønagergård Savværk A/S,"Sminge Møllevej 20, 8883 Gjern",Silkeborg,28.06.2018,60.0,Mellemstor,Aktieselskab,39715155,500.0,36925000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steenager Service ApS,"Møldrupvej 50, 9510 Arden",Mariagerfjord,10.01.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40166955,50.0,13000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYSK SPÆRFABRIK A/S,"Dons Byvej 41, 6051 Almind",Kolding,14.06.1995,23.0,Lille,Aktieselskab,18598396,700.0,15871000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAVINDE SAVVÆRK A/S,"Udlodgyden 24, 5220 Odense SØ",Odense,01.05.1972,35.0,Lille,Aktieselskab,38299417,500.0,19601000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEHLET AF 2008 ApS,"Bøgebjergvej 6, 8740 Brædstrup",Horsens,23.01.1992,Ikke oplyst,Ikke oplyst,Anpartsselskab,15874899,200.0,-11000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aros Savværk ApS,"Gråskegårdevej 6 A, 8400 Ebeltoft",Syddjurs,03.05.2021,4.0,Mikro,Anpartsselskab,42366293,40.0,3436000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HENRIK OHLSEN ApS,"Adelgade 3, 8660 Skanderborg",Skanderborg,20.11.2009,6.0,Mikro,Anpartsselskab,32569129,125.0,2047000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LINOLIE DØRE OG VINDUER ApS,"Vestergade 33, 7570 Vemb",Holstebro,13.04.2012,28.0,Lille,Anpartsselskab,34474958,50.0,19131000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
