Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Forarbejdning og færdigbearbejdning af træ,Udsavning og høvling af træ,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt,"Fremstilling af andre trævarer og varer af kork, strå og flettematerialer",Fremstilling af døre og vinduer af træ,Færdigbearbejdning af trævarer,Fremstilling af sammensatte parketstave,Fremstilling af fast brændsel på basis af vegetabilsk biomasse,Fremstilling af træemballage,Fremstilling af finerplader og træbaserede plader
Nørregårdsminde ApS,"Knudsbøllevej 15, 5700 Svendborg",Svendborg,15.09.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42683221,40.0,17000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BREDAHL KRISTENSEN ApS,"Tørslevvej 35, 3630 Jægerspris",Frederikssund,13.06.1977,29.0,Lille,Anpartsselskab,81891613,200.0,19137000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDTLAK ApS,"Rømersvej 13, 7430 Ikast",Ikast-Brande,12.01.2005,5.0,Mikro,Anpartsselskab,28323522,240.0,-633000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILSØE INDUSTRILAKERING ApS,"Store Valbyvej 260, 4000 Roskilde",Roskilde,26.06.2012,7.0,Mikro,Anpartsselskab,34600945,160.0,3143000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AN-EMBALLAGE ApS,"Herredsvejen 205, 9500 Hobro",Mariagerfjord,01.03.2007,7.0,Mikro,Anpartsselskab,30350081,144.0,4137000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hydro Inject ApS,"Olaf Ryes Gade 7 K 2 th, 6000 Kolding",Kolding,25.09.2020,1.0,Mikro,Anpartsselskab,41748583,40.0,1296000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Liciter ApS,"Meklenborggade 2 3 th, 2300 København S",København,31.10.2022,1.0,Mikro,Anpartsselskab,43612921,40.0,193000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRANBY PACK A/S,"Holmen 5, 4800 Nykøbing F",Guldborgsund,18.12.1977,68.0,Mellemstor,Aktieselskab,82861513,600.0,41006000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DESIGNMODUL A/S,"Kornmarken 17, 6040 Egtved",Vejle,02.12.2003,26.0,Lille,Aktieselskab,27471722,500.0,20374000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VESTJYSK MODELSNEDKERI ApS,"Isefjordsvej 5, 6715 Esbjerg N",Esbjerg,29.04.1991,4.0,Mikro,Anpartsselskab,15233044,126.0,1147000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JYDERUP DYVELFABRIK A/S,"Ringstedvej 70, 4370 Store Merløse",Holbæk,30.11.1973,5.0,Mikro,Aktieselskab,49778317,500.0,2718000.0,DKK,2024.0,0,0,16,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Syddjurs tække- og tømrerfirma ApS,"Pindstrupvej 31, 8410 Rønde",Syddjurs,15.07.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36967544,50.0,489000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYENSdesign København ApS,"Overbys Allé 7, 2500 Valby",København,21.12.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38275747,50.0,312000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Partner Pack ApS,"Stadionvej 16 A, 6800 Varde",Varde,18.12.2018,13.0,Lille,Anpartsselskab,40105077,417.0,3800000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Smokepins ApS,"Tornhøjvej 92, 8260 Viby J",Århus,09.03.2017,1.0,Mikro,Anpartsselskab,38488643,53.0,192000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lolland Savværk Aps,"Vesterborgvej 3, 4953 Vesterborg",Lolland,11.10.2021,6.0,Mikro,Anpartsselskab,42747882,140.0,763000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MM BIOENERGI ApS,"Mosegårdsvej 3, 5683 Haarby",Assens,28.06.2007,12.0,Lille,Anpartsselskab,30512448,125.0,8490000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H.E. Industries ApS,"Tønnesens Vej 6, 6760 Ribe",Esbjerg,15.04.2019,2.0,Mikro,Anpartsselskab,40460098,50.0,761000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPP Finans ApS,"Voldbjergvej 16 2 th, 8240 Risskov",Århus,02.05.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37660434,100.0,26000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SVEND KAAGH EMBALLAGE ApS,"Agerskovvej 18, 8362 Hørning",Skanderborg,28.02.1995,2.0,Mikro,Anpartsselskab,18427591,1.24,232000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DANSK EKSPORT EMBALLAGE ApS,"Pajdamsvej 1 A, 6683 Føvling",Vejen,02.02.2009,49.0,Lille,Anpartsselskab,31860520,125.0,14494000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Moelven Danmark Sales A/S,"Vestergade 49, 8600 Silkeborg",Silkeborg,08.03.2022,4.0,Mikro,Aktieselskab,43115693,400.0,3441000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rolfsted Vinduer ApS,"Stokløkken 6, 5863 Ferritslev Fyn",Faaborg-Midtfyn,02.05.2019,5.0,Mikro,Anpartsselskab,40503730,50.0,2588000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Midtvest Brænde ApS,"Ørnhøjvej 28, 6971 Spjald",Ringkøbing-Skjern,13.12.2021,1.0,Mikro,Anpartsselskab,42899089,40.0,178000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VESTPALL ApS,"Sdr. Viumvej 4 A, 6893 Hemmet",Ringkøbing-Skjern,04.10.2007,29.0,Lille,Anpartsselskab,30904028,250.0,11951000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bystrup Maskinsnedkeri ApS,"Gotlandsvej 8, 5700 Svendborg",Svendborg,03.03.2005,2.0,Mikro,Anpartsselskab,28501641,125.0,1292000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midgaard ApS,"Storegade 66, 4780 Stege",Vordingborg,10.09.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44291584,40.0,186000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HORN BORDPLADER A/S,"Farvervej 40, 7490 Aulum",Herning,19.12.2000,96.0,Mellemstor,Aktieselskab,25798902,1.0,43299000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEM Denmark A/S,"Brøndumvej 79, 7800 Skive",Skive,01.03.1989,26.0,Lille,Aktieselskab,12873581,500.0,26860000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHR. PANBO A/S,"Egelund 5, 6200 Aabenraa",Aabenraa,30.09.1993,8.0,Mikro,Aktieselskab,17292374,500.0,4812000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBK-FLISHUGNING ApS,"Terpvej 44, 8641 Sorring",Silkeborg,30.01.2012,1.0,Mikro,Anpartsselskab,34219885,150.0,608000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VESTJYSK TRÆEMBALLAGE ApS,"Drejervej 11, 7490 Aulum",Herning,29.12.2003,35.0,Lille,Anpartsselskab,26994837,210.0,2721000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hæstrup Træindustri ApS,"Otto Jakobsens Vej 5, 9800 Hjørring",Hjørring,26.05.2016,6.0,Mikro,Anpartsselskab,37762873,650.0,2689000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Københavns Savværk ApS,"Ved Slusen 34, 2300 København S",København,12.10.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42758353,40.0,2000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUPERWOOD A/S,"Palsgårdvej 3, 7362 Hampen",Silkeborg,24.01.2002,29.0,Lille,Aktieselskab,26434602,1.0,16565000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vestervang Pilestrø ApS,"Vanggårdsvej 25, 9700 Brønderslev",Brønderslev-Dronninglund,10.04.2018,4.0,Mikro,Anpartsselskab,39475839,50.0,661000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Starup Wood ApS,"Smedebakken 28, 7200 Grindsted",Billund,04.01.2016,3.0,Mikro,Anpartsselskab,37350087,50.0,2727000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FRONTEGO A/S,"Furvej 2, 7900 Nykøbing M",Morsø,29.06.1999,31.0,Lille,Aktieselskab,21833649,600.0,23370000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Livestock feed tests Denmark ApS,"Pebersmarkvej 31, 6372 Bylderup-Bov",Aabenraa,23.08.2017,2.0,Mikro,Anpartsselskab,38876686,50.0,978000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVH Production A/S,"Industrivej 53, 6760 Ribe",Esbjerg,23.11.2016,30.0,Lille,Aktieselskab,38207369,1.35,42401000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BM Byggeindustri A/S,"Lupinvej 18, 9500 Hobro",Mariagerfjord,28.11.2017,171.0,Mellemstor,Aktieselskab,39122014,3.0,83994000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OUTLINE VINDUER A/S,"Fabriksvej 4, 9640 Farsø",Vesthimmerland,29.11.2005,291.0,Stor,Aktieselskab,29189110,57.0,276529000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
S.W. LIMTRÆ ApS,"Lysningen 3, 9480 Løkken",Hjørring,24.04.1979,Ikke oplyst,Ikke oplyst,Anpartsselskab,87369528,125.0,0.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BurntWood ApS,"Mondrupsvej 8, 8260 Viby J",Århus,02.04.2020,1.0,Mikro,Anpartsselskab,41275634,40.0,1852000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NIC Denmark A/S,"Elmevej 16, 7870 Roslev",Skive,11.04.2014,23.0,Lille,Aktieselskab,35829563,500.0,7697000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRÆMAL A/S,"Transformervej 27, 2860 Søborg",Gladsaxe,15.12.1974,12.0,Lille,Aktieselskab,50985113,500.0,2828000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taasinge Elementer A/S,"Bjernemarksvej 54, 5700 Svendborg",Svendborg,03.03.2011,97.0,Mellemstor,Aktieselskab,33510691,1.08,43010000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bøgely Maskinsnedkeri 2022 ApS,"Borupvej 60 E, 3320 Skævinge",Hillerød,13.12.2021,4.0,Mikro,Anpartsselskab,42902152,40.0,3048000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. SAABY-JENSEN & SØN ApS,"Olufsvej 6 B, 2100 København Ø",København,15.10.1975,2.0,Mikro,Anpartsselskab,56176810,125.0,474000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYSTED SAVVÆRK & TRÆHANDEL A/S,"Ny Østergade 9, 4880 Nysted",Guldborgsund,30.10.1956,Ikke oplyst,Ikke oplyst,Aktieselskab,24412113,500.0,-109000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Jepsen Ugilt Consult A/S,"Mosbjergvej 135 A, 9870 Sindal",Hjørring,10.07.2019,Ikke oplyst,Ikke oplyst,Aktieselskab,40652299,2.5,892000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JACOB BACH Snedkermester ApS,"Himmelbjergvej 9, 8680 Ry",Skanderborg,09.05.2022,2.0,Mikro,Anpartsselskab,43249169,40.0,1936000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Danish Anti Fire ApS,"Sandvadsvej 2, 4600 Køge",Køge,03.03.2017,4.0,Mikro,Anpartsselskab,38464302,50.0,5248000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDBØL SAVVÆRK ApS,"Rygbjergvej 4, 7183 Randbøl",Vejle,30.06.1995,7.0,Mikro,Anpartsselskab,18637006,200.0,4158000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Universalhuse ApS,"Magnoliavej 2, 5250 Odense SV",Odense,20.06.2014,2.0,Mikro,Anpartsselskab,35892559,50.0,674000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIANAFLEX ApS,"Tersløsevej 1, 4293 Dianalund",Sorø,13.06.1990,1.0,Mikro,Anpartsselskab,14249893,125.0,352000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCL Entreprise ApS,"Hallenslevvej 5 A, 4270 Høng",Kalundborg,04.08.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43429396,40.0,,nan,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frøslev Projekt A/S,"Herstedøstervej 27-29 1 1, 2620 Albertslund",Albertslund,01.01.1988,7.0,Mikro,Aktieselskab,11932371,5.0,12505000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conrum A/S,"Amerikavej 1, 7000 Fredericia",Fredericia,20.05.1992,176.0,Mellemstor,Aktieselskab,16148040,1.1,224218000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drejerinden og Værkstedsfejeren ApS,"Ejlbyvej 53, 5471 Søndersø",Nordfyns,09.02.2021,3.0,Mikro,Anpartsselskab,42104744,40.0,78000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
THY TRAPPER A/S,"Industrivej 17, 7700 Thisted",Thisted,30.11.1982,14.0,Lille,Aktieselskab,71264319,1.0,1817000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paw's Tømrerfirma ApS,"Brundvej 3, 7700 Thisted",Thisted,01.11.2018,1.0,Mikro,Anpartsselskab,40010742,50.0,2326000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyElla ApS,"Skudehavnsvej 15 A, 2150 Nordhavn",København,07.03.2018,2.0,Mikro,Anpartsselskab,39392712,50.0,366000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIK-FUNKIS A/S,"Livøvej 10 B, 8800 Viborg",Viborg,01.01.1986,87.0,Mellemstor,Aktieselskab,10123135,3.183,42154000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A/S Metalcentret,"Ejby Industrivej 100, 2600 Glostrup",Glostrup,25.04.1978,23.0,Lille,Aktieselskab,83983515,1.55,18105000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KASTRUP A/S,"Mosebyvej 40, 7500 Holstebro",Holstebro,20.06.2000,250.0,Stor,Aktieselskab,25473434,3.0,44384000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KOLOMORE ApS,"Skærgårdsvænget 7, 5500 Middelfart",Middelfart,20.05.2016,4.0,Mikro,Anpartsselskab,37704741,50.0,3915000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AKTIV LEG ApS,"Boldingvej 5, 7250 Hejnsvig",Billund,22.02.2000,6.0,Mikro,Anpartsselskab,25222199,126.0,3824000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KORSGAARD ApS,"Gl. Refsvej 11 B, 7760 Hurup Thy",Thisted,12.11.2002,Ikke oplyst,Ikke oplyst,Anpartsselskab,26880955,135.0,-29000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ørum Savværk ApS,"Bjørnbækvej 17, 9320 Hjallerup",Brønderslev-Dronninglund,01.04.2023,1.0,Mikro,Anpartsselskab,43965298,40.0,430000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simpel design ApS,"Danmarksgade 8 K, 4690 Haslev",Faxe,19.08.2022,1.0,Mikro,Anpartsselskab,43475274,40.0,167000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HusCompagniet Production A/S,"Skagerrakvej 8, 6715 Esbjerg N",Esbjerg,01.05.1996,100.0,Mellemstor,Aktieselskab,19270742,50.094,42341000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDITION COPENHAGEN A/S,"Strandgade 66-70, 1401 København K",København,10.05.1986,11.0,Lille,Aktieselskab,10278678,500.0,18916000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREEN HOUSE ApS,"Vester Fjordvej 4, 9280 Storvorde",Aalborg,12.06.2006,11.0,Lille,Anpartsselskab,29614288,175.0,7314000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODPACK DENMARK A/S,"Sønderfenne 5, 6630 Rødding",Vejen,23.07.1990,23.0,Lille,Aktieselskab,14324941,500.0,15550000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Træværkeriet ApS,"Entreprenørvejen 61, 8550 Ryomgård",Syddjurs,10.12.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37293741,50.0,109000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAN STRAW A/S,"Industrivej 11, 6780 Skærbæk",Tønder,19.11.2007,Ikke oplyst,Ikke oplyst,Aktieselskab,31067197,500.0,340000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J.P.A. JENSEN & SØN ApS,"A R Kjærbysvej 2, 6280 Højer",Tønder,29.12.2006,7.0,Mikro,Anpartsselskab,30178971,125.0,2545000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KRONE VINDUER A/S,"Ålborgvej 576, 9760 Vrå",Hjørring,26.08.2005,175.0,Mellemstor,Aktieselskab,28979967,8.5,77652000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DLT GROUP A/S,"Lundborgvej 25, 8800 Viborg",Viborg,01.06.1993,49.0,Lille,Aktieselskab,17078186,1.0,49223000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Skanderborg Brændesalg ApS,"Præstevejen 8, 8660 Skanderborg",Skanderborg,21.09.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42696439,40.0,35000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ScandiWood Production Denmark ApS,"Mads Clausens Vej 11, 9800 Hjørring",Hjørring,10.05.2022,2.0,Mikro,Anpartsselskab,43252259,40.0,-39000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NÆSBY TRÆINDUSTRI ApS,"Bogensevej 39, 5270 Odense N",Odense,24.01.1995,Ikke oplyst,Ikke oplyst,Anpartsselskab,18332078,200.0,-4000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
G.S.V. MATERIELUDLEJNING A/S,"Baldersbuen 5, 2640 Hedehusene",Høje-Taastrup,30.12.1964,591.0,Stor,Aktieselskab,51457528,15.329,,nan,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSK ApS,"Flintagerløkken 6, 5250 Odense SV",Odense,06.05.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44041278,40.0,0.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
